Date;Number_Hours;Description
24.10.2020;5;Collecting data 
30.10.2020;4;Collecting data 
13.11.2020;5;Collecting data and preparing data sets
18.11.2020;6;Preparing data sets
19.11.2020;4;Preparing data sets
28.11.2020;4;Studying CNN
29.11.2020;5;Gaining know-how on PyTorch
02.12.2020;2;Studying CNN
03.12.2020;1;Gaining know-how on PyTorch
05.12.2020;4;Hacking
07.12.2020;7;Hacking
08.12.2020;3;Document project
09.12.2020;5;Hacking
11.12.2020;5;Tidy up and document project
12.12.2020;6;Hacking
13.12.2020;4;Hacking
14.12.2020;3;Hacking
29.12.2020;6;Working on webapp
05.01.2021;5;Converting model to ONNX and trying to build a webapp around it
10.01.2021;5;Webapp with Flask and PyTorch model built
18.01.2021;4;Webapp finished
